Id invio;Matricola dispositivo;Data e ora rilevazione;Data e ora trasmissione;Ammontare delle vendite (totale in euro);Imponibile vendite (totale in euro);Imposta vendite (totale in euro);Periodo di inattivita' da;Periodo di inattivita' a
'2837231841';'96MBD070550';29/03/2025 20:04:09;29/03/2025 20:05:10;"000000000000,00";"000000000000,00";"000000000000,00";;
'2835801631';'96MBD070550';28/03/2025 20:03:53;28/03/2025 20:04:59;"000000000010,00";"000000000010,00";"000000000000,00";;
'2834218443';'96MBD070550';27/03/2025 20:03:50;27/03/2025 20:03:57;"000000000000,00";"000000000000,00";"000000000000,00";;
'2832523652';'96MBD070550';26/03/2025 19:47:06;26/03/2025 19:47:19;"000000000000,00";"000000000000,00";"000000000000,00";;
'2831180532';'96MBD070550';25/03/2025 20:25:33;25/03/2025 20:26:03;"000000000000,00";"000000000000,00";"000000000000,00";;
'2829331808';'96MBD070550';24/03/2025 19:54:55;24/03/2025 19:55:31;"000000000000,00";"000000000000,00";"000000000000,00";;
'2827684549';'96MBD070550';23/03/2025 20:09:03;23/03/2025 20:09:45;"000000000016,00";"000000000016,00";"000000000000,00";;
'2827357884';'96MBD070550';23/03/2025 10:23:59;23/03/2025 10:24:43;"000000000000,00";"000000000000,00";"000000000000,00";;
'2826846509';'96MBD070550';22/03/2025 20:23:48;22/03/2025 20:23:33;"000000000018,00";"000000000018,00";"000000000000,00";;
'2825265309';'96MBD070550';21/03/2025 19:56:31;21/03/2025 19:56:22;"000000000000,00";"000000000000,00";"000000000000,00";;
'2824418535';'96MBD070550';21/03/2025 10:03:43;21/03/2025 10:03:36;"000000000000,00";"000000000000,00";"000000000000,00";19/03/2025 00:00:00;20/03/2025 23:59:59
'2820684746';'96MBD070550';18/03/2025 20:16:02;18/03/2025 20:16:10;"000000000000,00";"000000000000,00";"000000000000,00";;
'2818989801';'96MBD070550';17/03/2025 20:11:52;17/03/2025 20:12:05;"000000000002,00";"000000000002,00";"000000000000,00";;
'2818164228';'96MBD070550';17/03/2025 12:19:45;17/03/2025 12:19:59;"000000000000,00";"000000000000,00";"000000000000,00";;
'2817222040';'96MBD070550';16/03/2025 20:05:08;16/03/2025 20:05:26;"000000000005,00";"000000000005,00";"000000000000,00";;
'2816902082';'96MBD070550';16/03/2025 10:27:41;16/03/2025 10:28:07;"000000000000,00";"000000000000,00";"000000000000,00";;
'2816902026';'96MBD070550';16/03/2025 10:27:20;16/03/2025 10:27:46;"000000000000,00";"000000000000,00";"000000000000,00";;
'2816256502';'96MBD070550';15/03/2025 19:56:28;15/03/2025 19:57:15;"000000000000,00";"000000000000,00";"000000000000,00";;
'2814834900';'96MBD070550';14/03/2025 19:58:48;14/03/2025 19:58:38;"000000000000,00";"000000000000,00";"000000000000,00";;
'2813227587';'96MBD070550';13/03/2025 19:50:12;13/03/2025 19:50:08;"000000000001,60";"000000000001,60";"000000000000,00";;
'2812393937';'96MBD070550';13/03/2025 09:46:39;13/03/2025 09:46:37;"000000000000,00";"000000000000,00";"000000000000,00";;
'2811761201';'96MBD070550';12/03/2025 20:03:32;12/03/2025 20:03:34;"000000000000,00";"000000000000,00";"000000000000,00";;
