Id invio;Matricola dispositivo;Data e ora rilevazione;Data e ora trasmissione;Ammontare delle vendite (totale in euro);Imponibile vendite (totale in euro);Imposta vendite (totale in euro);Periodo di inattivita' da;Periodo di inattivita' a
'3250008062';'96MBD070550';31/12/2025 20:22:44;31/12/2025 20:23:17;"000000000005,00";"000000000005,00";"000000000000,00";;
'3248592107';'96MBD070550';30/12/2025 21:26:51;30/12/2025 21:26:24;"000000000000,00";"000000000000,00";"000000000000,00";;
'3246981690';'96MBD070550';29/12/2025 21:06:35;29/12/2025 21:06:13;"000000000000,00";"000000000000,00";"000000000000,00";28/12/2025 00:00:00;28/12/2025 23:59:59
'3244228880';'96MBD070550';27/12/2025 20:44:38;27/12/2025 20:44:27;"000000000000,00";"000000000000,00";"000000000000,00";;
'3242613397';'96MBD070550';26/12/2025 21:08:34;26/12/2025 21:08:28;"000000000000,00";"000000000000,00";"000000000000,00";;
'3241923553';'96MBD070550';25/12/2025 20:41:03;25/12/2025 20:41:02;"000000000005,00";"000000000005,00";"000000000000,00";;
'3241511701';'96MBD070550';24/12/2025 22:16:09;24/12/2025 22:16:14;"000000000000,00";"000000000000,00";"000000000000,00";;
'3239936801';'96MBD070550';23/12/2025 20:50:37;23/12/2025 20:50:48;"000000000000,00";"000000000000,00";"000000000000,00";;
'3238487770';'96MBD070550';22/12/2025 22:32:30;22/12/2025 22:33:02;"000000000000,00";"000000000000,00";"000000000000,00";;
'3236439968';'96MBD070550';21/12/2025 20:48:31;21/12/2025 20:49:23;"000000000000,00";"000000000000,00";"000000000000,00";;
'3235553193';'96MBD070550';20/12/2025 22:14:53;20/12/2025 22:14:44;"000000000000,00";"000000000000,00";"000000000000,00";;
'3234039540';'96MBD070550';19/12/2025 21:12:05;19/12/2025 21:12:01;"000000000000,00";"000000000000,00";"000000000000,00";;
'3232374077';'96MBD070550';18/12/2025 20:44:39;18/12/2025 20:44:42;"000000000000,00";"000000000000,00";"000000000000,00";;
'3230916200';'96MBD070550';17/12/2025 22:05:03;17/12/2025 22:05:10;"000000000000,00";"000000000000,00";"000000000000,00";;
'3229279196';'96MBD070550';16/12/2025 21:19:42;16/12/2025 21:19:55;"000000000000,00";"000000000000,00";"000000000000,00";;
'3227551948';'96MBD070550';15/12/2025 20:58:30;15/12/2025 20:58:48;"000000000000,00";"000000000000,00";"000000000000,00";;
'3225735582';'96MBD070550';14/12/2025 20:50:29;14/12/2025 20:50:52;"000000000000,00";"000000000000,00";"000000000000,00";;
'3224769976';'96MBD070550';13/12/2025 20:46:54;13/12/2025 20:47:23;"000000000000,00";"000000000000,00";"000000000000,00";;
'3223339754';'96MBD070550';12/12/2025 20:48:29;12/12/2025 20:49:21;"000000000000,00";"000000000000,00";"000000000000,00";;
'3221896988';'96MBD070550';11/12/2025 22:32:57;11/12/2025 22:32:43;"000000000000,00";"000000000000,00";"000000000000,00";;
'3220164837';'96MBD070550';10/12/2025 20:55:13;10/12/2025 20:55:03;"000000000000,00";"000000000000,00";"000000000000,00";;
'3218586877';'96MBD070550';09/12/2025 21:01:21;09/12/2025 21:01:17;"000000000000,00";"000000000000,00";"000000000000,00";;
'3216529762';'96MBD070550';08/12/2025 20:38:41;08/12/2025 20:38:43;"000000000011,03";"000000000011,03";"000000000000,00";;
'3215575194';'96MBD070550';07/12/2025 21:00:27;07/12/2025 21:00:35;"000000000000,00";"000000000000,00";"000000000000,00";;
'3214635788';'96MBD070550';06/12/2025 20:50:08;06/12/2025 20:50:21;"000000000005,00";"000000000005,00";"000000000000,00";;
'3213344154';'96MBD070550';05/12/2025 22:18:25;05/12/2025 22:18:43;"000000000000,00";"000000000000,00";"000000000000,00";;
'3211613571';'96MBD070550';04/12/2025 20:45:30;04/12/2025 20:45:54;"000000000000,00";"000000000000,00";"000000000000,00";;
'3210073072';'96MBD070550';03/12/2025 20:57:27;03/12/2025 20:58:15;"000000000001,00";"000000000001,00";"000000000000,00";;
'3209005356';'96MBD070550';03/12/2025 11:19:56;03/12/2025 11:19:36;"000000000000,00";"000000000000,00";"000000000000,00";29/11/2025 00:00:00;02/12/2025 23:59:59
'3202669226';'96MBD070550';28/11/2025 20:42:25;28/11/2025 20:42:31;"000000000000,00";"000000000000,00";"000000000000,00";;
'3201210153';'96MBD070550';27/11/2025 21:53:19;27/11/2025 21:53:30;"000000000000,80";"000000000000,80";"000000000000,00";;
'3199679713';'96MBD070550';26/11/2025 22:27:50;26/11/2025 22:28:06;"000000000006,40";"000000000006,40";"000000000000,00";;
'3197987954';'96MBD070550';25/11/2025 20:51:31;25/11/2025 20:51:53;"000000000010,00";"000000000010,00";"000000000000,00";;
'3196424521';'96MBD070550';24/11/2025 22:13:06;24/11/2025 22:13:33;"000000000005,40";"000000000005,40";"000000000000,00";;
'3194584559';'96MBD070550';23/11/2025 21:41:14;23/11/2025 21:41:47;"000000000030,00";"000000000030,00";"000000000000,00";;
'3193754733';'96MBD070550';22/11/2025 21:11:17;22/11/2025 21:12:24;"000000000000,00";"000000000000,00";"000000000000,00";;
'3192314113';'96MBD070550';21/11/2025 20:52:03;21/11/2025 20:51:58;"000000000050,00";"000000000050,00";"000000000000,00";;
'3190747569';'96MBD070550';20/11/2025 20:47:13;20/11/2025 20:47:14;"000000000000,00";"000000000000,00";"000000000000,00";;
'3189209342';'96MBD070550';19/11/2025 20:54:21;19/11/2025 20:54:28;"000000000000,00";"000000000000,00";"000000000000,00";;
'3187629787';'96MBD070550';18/11/2025 20:46:13;18/11/2025 20:46:25;"000000000005,00";"000000000005,00";"000000000000,00";;
'3186523288';'96MBD070550';18/11/2025 10:29:12;18/11/2025 10:29:26;"000000000000,00";"000000000000,00";"000000000000,00";;
'3186095463';'96MBD070550';17/11/2025 22:44:13;17/11/2025 22:44:30;"000000000000,00";"000000000000,00";"000000000000,00";;
'3184140218';'96MBD070550';16/11/2025 20:37:41;16/11/2025 20:38:09;"000000000005,00";"000000000005,00";"000000000000,00";;
'3183385924';'96MBD070550';15/11/2025 21:12:30;15/11/2025 21:13:19;"000000000000,00";"000000000000,00";"000000000000,00";;
'3181935827';'96MBD070550';14/11/2025 20:51:00;14/11/2025 20:51:54;"000000000000,00";"000000000000,00";"000000000000,00";;
'3180365687';'96MBD070550';13/11/2025 20:52:48;13/11/2025 20:52:46;"000000000000,00";"000000000000,00";"000000000000,00";;
'3178856915';'96MBD070550';12/11/2025 21:15:20;12/11/2025 21:15:24;"000000000004,20";"000000000004,20";"000000000000,00";;
'3177251449';'96MBD070550';11/11/2025 20:53:52;11/11/2025 20:54:01;"000000000000,00";"000000000000,00";"000000000000,00";;
'3175573232';'96MBD070550';10/11/2025 20:55:15;10/11/2025 20:55:30;"000000000000,00";"000000000000,00";"000000000000,00";;
'3173740224';'96MBD070550';09/11/2025 20:51:55;09/11/2025 20:52:15;"000000000005,00";"000000000005,00";"000000000000,00";;
'3172900873';'96MBD070550';08/11/2025 20:42:14;08/11/2025 20:42:39;"000000000000,00";"000000000000,00";"000000000000,00";;
'3171524507';'96MBD070550';07/11/2025 20:55:17;07/11/2025 20:55:48;"000000000000,00";"000000000000,00";"000000000000,00";;
